img_path,question,ground_truth,predicts
vivqa-dataset/images/image_524661.jpg,màu của con chim là gì,màu tía,màu tía
vivqa-dataset/images/image_323812.jpg,màu của lon là gì,màu xanh dương,màu xanh lá
vivqa-dataset/images/image_251264.jpg,màu sắc của hành khách là gì,màu đỏ,màu đỏ
vivqa-dataset/images/image_262201.jpg,màu của con chim là gì,màu đen,màu đen
vivqa-dataset/images/image_405264.jpg,màu của ghế là gì,màu đỏ,màu đỏ
vivqa-dataset/images/image_451381.jpg,màu của vali là gì,màu đen,màu xám
vivqa-dataset/images/image_550875.jpg,màu của dĩa nhựa là gì,màu tía,màu tía
vivqa-dataset/images/image_184435.jpg,màu của bồn cầu là gì,màu xanh dương,màu xanh dương
vivqa-dataset/images/image_96073.jpg,màu của chiếc cặp là gì,màu xanh lá,màu xanh lá
vivqa-dataset/images/image_66691.jpg,màu của ghế là gì,màu đỏ,màu cam
vivqa-dataset/images/image_375096.jpg,màu của dấu hiệu là gì,màu vàng,màu vàng
vivqa-dataset/images/image_249941.jpg,màu của con mèo là gì,màu trắng,màu đen
vivqa-dataset/images/image_24922.jpg,màu của vali là gì,màu xám,màu đen
vivqa-dataset/images/image_398527.jpg,màu của xe buýt là gì,màu đỏ,màu đỏ
vivqa-dataset/images/image_306671.jpg,màu của con mèo là gì,màu cam,màu cam
vivqa-dataset/images/image_343057.jpg,màu của bộ đồ là gì,màu cam,màu cam
vivqa-dataset/images/image_130886.jpg,màu của dĩa nhựa là gì,màu tía,màu tía
vivqa-dataset/images/image_80556.jpg,màu của tiểu bồn tiểu là gì,màu trắng,màu trắng
vivqa-dataset/images/image_424472.jpg,màu của áo là gì,màu xanh dương,màu xanh dương
vivqa-dataset/images/image_311868.jpg,màu của phòng tắm là gì,màu nâu,màu trắng
vivqa-dataset/images/image_414912.jpg,màu của tường là gì,màu xanh dương,màu tía
vivqa-dataset/images/image_457274.jpg,màu của áo là gì,màu trắng,màu xanh dương
vivqa-dataset/images/image_568155.jpg,màu tóc là gì,màu trắng,màu xanh dương
vivqa-dataset/images/image_523985.jpg,màu của ghế là gì,màu xanh lá,màu xanh lá
vivqa-dataset/images/image_473765.jpg,màu của chiếc thuyền là gì,màu nâu,màu vàng
vivqa-dataset/images/image_256565.jpg,màu của dấu hiệu là gì,màu đỏ,màu đỏ
vivqa-dataset/images/image_228222.jpg,màu của cỏ là gì,màu xanh lá,màu xanh lá
vivqa-dataset/images/image_345899.jpg,màu của chiếc ghế dài là gì,màu trắng,màu xanh lá
vivqa-dataset/images/image_171328.jpg,màu của cam là gì,màu cam,màu cam
vivqa-dataset/images/image_552776.jpg,màu của dấu hiệu là gì,màu vàng,màu đỏ
vivqa-dataset/images/image_109314.jpg,màu của chiếc đĩa là gì,màu trắng,màu trắng
vivqa-dataset/images/image_138807.jpg,màu của ánh sáng là gì,màu xanh lá,màu đỏ
vivqa-dataset/images/image_140100.jpg,màu của xe buýt là gì,màu đỏ,màu đỏ
vivqa-dataset/images/image_54912.jpg,màu của chiếc tàu là gì,màu xanh dương,màu xanh dương
vivqa-dataset/images/image_167622.jpg,màu của lửa là gì,màu tía,màu vàng
vivqa-dataset/images/image_476791.jpg,màu của xe máy là gì,màu đỏ,màu đỏ
vivqa-dataset/images/image_49716.jpg,màu sắc của bộ đồ là gì,màu cam,màu cam
vivqa-dataset/images/image_453472.jpg,màu của con mèo là gì,màu xám,màu xám
vivqa-dataset/images/image_476525.jpg,màu của chiếc cặp là gì,màu đỏ,màu đen
vivqa-dataset/images/image_531093.jpg,màu của cây là gì,màu cam,màu cam
vivqa-dataset/images/image_138342.jpg,màu của bảng là gì,màu nâu,màu đỏ
vivqa-dataset/images/image_132646.jpg,màu của chai là gì,màu xanh dương,màu tía
vivqa-dataset/images/image_212843.jpg,màu sắc của đại dương là gì,màu xanh dương,màu xanh dương
vivqa-dataset/images/image_382969.jpg,màu của ván trượt là gì,màu đen,màu xanh dương
vivqa-dataset/images/image_526419.jpg,màu của xe buýt là gì,màu xám,màu xanh dương
vivqa-dataset/images/image_165707.jpg,màu sắc của giao thông là gì,màu xanh lá,màu đỏ
vivqa-dataset/images/image_179238.jpg,màu của con ngựa là gì,màu trắng,màu trắng
vivqa-dataset/images/image_536317.jpg,màu của lớp phủ là gì,màu xanh lá,màu đen
vivqa-dataset/images/image_480745.jpg,màu con hổ là gì,màu xám,màu xám
vivqa-dataset/images/image_48939.jpg,màu của cái tủ là gì,màu nâu,màu nâu
vivqa-dataset/images/image_480012.jpg,màu của con bò là gì,màu nâu,màu nâu
vivqa-dataset/images/image_452619.jpg,màu của chiếc ô là gì,màu tía,màu cam
vivqa-dataset/images/image_327841.jpg,màu của xe tải là gì,màu xanh lá,màu xanh dương
vivqa-dataset/images/image_186275.jpg,màu của con bò là gì,màu nâu,màu nâu
vivqa-dataset/images/image_406030.jpg,màu của gấu bông là gì,màu nâu,màu trắng
vivqa-dataset/images/image_547817.jpg,màu của xe đạp là gì,màu vàng,màu đen
vivqa-dataset/images/image_31161.jpg,màu của áo là gì,màu đỏ,màu xanh lá
vivqa-dataset/images/image_262012.jpg,màu của chiếc ô là gì,màu vàng,màu vàng
vivqa-dataset/images/image_249259.jpg,màu của máy bay phản lực là gì,màu xám,màu xám
vivqa-dataset/images/image_161013.jpg,màu của con mèo là gì,màu trắng,màu cam
vivqa-dataset/images/image_83219.jpg,màu của xe buýt là gì,màu xanh lá,màu xanh lá
vivqa-dataset/images/image_457948.jpg,màu của xe buýt là gì,màu xanh dương,màu xanh lá
vivqa-dataset/images/image_67644.jpg,màu của chiếc giường là gì,màu tía,màu trắng
vivqa-dataset/images/image_307272.jpg,màu của lửa là gì,màu vàng,màu vàng
vivqa-dataset/images/image_442682.jpg,màu của kính bảo hộ là gì,màu cam,màu vàng
vivqa-dataset/images/image_271079.jpg,màu của tòa nhà là gì,màu vàng,màu đỏ
vivqa-dataset/images/image_467198.jpg,màu của các mặt hàng là gì,màu xanh lá,màu xanh lá
vivqa-dataset/images/image_310878.jpg,màu của chiếc ô là gì,màu tía,màu tía
vivqa-dataset/images/image_369633.jpg,màu của chiếc tàu là gì,màu vàng,màu vàng
vivqa-dataset/images/image_79971.jpg,màu của lá là gì,màu xanh lá,màu xanh lá
vivqa-dataset/images/image_81283.jpg,màu của lát là gì,màu cam,màu xanh lá
vivqa-dataset/images/image_515415.jpg,màu của bề mặt là gì,màu xám,màu đen
vivqa-dataset/images/image_431707.jpg,màu của bộ đồ là gì,màu xám,màu xám
vivqa-dataset/images/image_459093.jpg,màu của con mèo là gì,màu xám,màu xám
vivqa-dataset/images/image_447985.jpg,màu của ghế là gì,màu trắng,màu xanh dương
vivqa-dataset/images/image_245139.jpg,màu của bầu trời là gì,màu xanh dương,màu xanh dương
vivqa-dataset/images/image_449758.jpg,màu của cái tủ là gì,màu đen,màu tía
vivqa-dataset/images/image_323646.jpg,màu của cà vạt là gì,màu xanh dương,màu xanh dương
vivqa-dataset/images/image_179479.jpg,màu của radio là gì,màu vàng,màu vàng
vivqa-dataset/images/image_477920.jpg,màu của con chó là gì,màu nâu,màu nâu
vivqa-dataset/images/image_394175.jpg,màu của trang trí là gì,màu xanh dương,màu cam
vivqa-dataset/images/image_116650.jpg,màu của xe buýt là gì,màu đỏ,màu đỏ
vivqa-dataset/images/image_249435.jpg,màu của bánh là gì,màu tía,màu đỏ
vivqa-dataset/images/image_395703.jpg,màu của lửa là gì,màu vàng,màu vàng
vivqa-dataset/images/image_306671.jpg,màu của chăn là gì,màu trắng,màu cam
vivqa-dataset/images/image_318990.jpg,màu của chiếc bình là gì,màu vàng,màu trắng
vivqa-dataset/images/image_438694.jpg,màu sắc của vật này là gì,màu đỏ,màu xám
vivqa-dataset/images/image_299259.jpg,màu của áo len là gì,màu đen,màu xám
vivqa-dataset/images/image_95390.jpg,màu của cây cầu là gì,màu trắng,màu xanh lá
vivqa-dataset/images/image_253266.jpg,màu sắc của trang phục là gì,màu xanh dương,màu xanh dương
vivqa-dataset/images/image_32598.jpg,màu của cà vạt là gì,màu đỏ,màu đỏ
vivqa-dataset/images/image_510914.jpg,màu của con ngựa là gì,màu xám,màu nâu
vivqa-dataset/images/image_335357.jpg,màu của áo khoác là gì,màu đen,màu tía
vivqa-dataset/images/image_156396.jpg,màu của cỏ là gì,màu xanh lá,màu xanh lá
vivqa-dataset/images/image_513881.jpg,màu của quầy là gì,màu đen,màu xanh lá
vivqa-dataset/images/image_443188.jpg,màu của nón là gì,màu cam,màu cam
vivqa-dataset/images/image_415589.jpg,màu của diều là gì,màu xanh dương,màu vàng
vivqa-dataset/images/image_557137.jpg,màu của chiếc đĩa là gì,màu trắng,màu trắng
vivqa-dataset/images/image_383786.jpg,màu sắc của quần vợt là gì,màu tía,màu tía
vivqa-dataset/images/image_543838.jpg,màu sắc của bông hoa là gì,màu vàng,màu tía
vivqa-dataset/images/image_565546.jpg,màu sắc của lễ hội là gì,màu cam,màu cam
vivqa-dataset/images/image_408815.jpg,màu của vòi nước là gì,màu đỏ,màu đỏ
vivqa-dataset/images/image_343887.jpg,màu của con chó là gì,màu nâu,màu đen
vivqa-dataset/images/image_6422.jpg,màu của chiếc điều khiển là gì,màu xám,màu trắng
vivqa-dataset/images/image_520674.jpg,màu của chiếc bình là gì,màu tía,màu tía
vivqa-dataset/images/image_415918.jpg,màu của áo là gì,màu đen,màu xanh lá
vivqa-dataset/images/image_405527.jpg,màu sắc của đi bộ là gì,màu đen,màu đen
vivqa-dataset/images/image_219606.jpg,màu của ban nhạc là gì,màu đỏ,màu xanh dương
vivqa-dataset/images/image_72382.jpg,màu của gạch là gì,màu tía,màu tía
vivqa-dataset/images/image_172171.jpg,màu sắc của đường phố là gì,màu đỏ,màu đỏ
vivqa-dataset/images/image_38546.jpg,màu của thảm là gì,màu nâu,màu xanh lá
vivqa-dataset/images/image_559486.jpg,màu của bầu trời là gì,màu xanh dương,màu xanh dương
vivqa-dataset/images/image_415222.jpg,màu của quả táo là gì,màu cam,màu xanh lá
vivqa-dataset/images/image_514280.jpg,màu sắc của cảnh là gì,màu vàng,màu xanh dương
vivqa-dataset/images/image_404854.jpg,màu của áo là gì,màu tía,màu xanh lá
vivqa-dataset/images/image_23735.jpg,màu của lát là gì,màu cam,màu xanh lá
vivqa-dataset/images/image_87091.jpg,màu của tòa nhà là gì,màu trắng,màu nâu
vivqa-dataset/images/image_373283.jpg,màu của chiếc ô là gì,màu vàng,màu vàng
vivqa-dataset/images/image_432500.jpg,màu của bảng là gì,màu trắng,màu trắng
vivqa-dataset/images/image_507603.jpg,màu của xe buýt là gì,màu đỏ,màu đỏ
vivqa-dataset/images/image_247525.jpg,màu của con bò là gì,màu nâu,màu nâu
vivqa-dataset/images/image_19753.jpg,màu của bánh là gì,màu xanh dương,màu trắng
vivqa-dataset/images/image_69654.jpg,màu của chiếc tàu là gì,màu vàng,màu vàng
vivqa-dataset/images/image_173184.jpg,màu sắc của hành khách là gì,màu xanh dương,màu vàng
vivqa-dataset/images/image_198255.jpg,màu của bông hoa là gì,màu vàng,màu tía
vivqa-dataset/images/image_511620.jpg,màu của chăn là gì,màu xanh dương,màu cam
vivqa-dataset/images/image_187351.jpg,màu của con cừu là gì,màu trắng,màu đen
vivqa-dataset/images/image_560997.jpg,màu của xe buýt là gì,màu đen,màu trắng
vivqa-dataset/images/image_520986.jpg,màu của chăn là gì,màu nâu,màu xanh dương
vivqa-dataset/images/image_391512.jpg,màu của cà vạt là gì,màu đỏ,màu đen
vivqa-dataset/images/image_153882.jpg,màu của tường là gì,màu nâu,màu vàng
vivqa-dataset/images/image_52619.jpg,màu của bồn rửa là gì,màu trắng,màu trắng
vivqa-dataset/images/image_91288.jpg,màu của hàng rào là gì,màu vàng,màu vàng
vivqa-dataset/images/image_191729.jpg,màu của xe tải là gì,màu xanh dương,màu xanh dương
vivqa-dataset/images/image_8053.jpg,màu của vòi nước là gì,màu vàng,màu đỏ
vivqa-dataset/images/image_443308.jpg,màu của gấu là gì,màu nâu,màu nâu
vivqa-dataset/images/image_503068.jpg,màu của đậu là gì,màu xanh lá,màu xanh lá
vivqa-dataset/images/image_416559.jpg,màu của chăn là gì,màu xanh dương,màu xanh dương
vivqa-dataset/images/image_335477.jpg,màu sắc của bông hoa là gì,màu tía,màu tía
vivqa-dataset/images/image_568143.jpg,màu của xe là gì,màu xanh dương,màu xanh dương
vivqa-dataset/images/image_182027.jpg,màu của áo khoác là gì,màu xanh lá,màu vàng
vivqa-dataset/images/image_50161.jpg,màu của áo là gì,màu đen,màu đen
vivqa-dataset/images/image_152689.jpg,màu của xe buýt là gì,màu xanh dương,màu xanh dương
vivqa-dataset/images/image_394975.jpg,màu của áo khoác là gì,màu đen,màu xanh lá
vivqa-dataset/images/image_517226.jpg,màu của các chuyến tàu là gì,màu đỏ,màu đỏ
vivqa-dataset/images/image_569253.jpg,màu của con ngựa là gì,màu nâu,màu nâu
vivqa-dataset/images/image_382789.jpg,màu của dĩa nhựa là gì,màu trắng,màu tía
vivqa-dataset/images/image_323230.jpg,màu sắc của những mảnh vụn là gì,màu xám,màu đen
vivqa-dataset/images/image_163302.jpg,màu của giỏ hàng là gì,màu vàng,màu vàng
vivqa-dataset/images/image_375001.jpg,màu sắc của boong tàu là gì,màu xanh lá,màu xanh lá
vivqa-dataset/images/image_318785.jpg,màu của áo là gì,màu xám,màu trắng
vivqa-dataset/images/image_152483.jpg,màu sắc của bức ảnh là gì,màu trắng,màu xanh lá
vivqa-dataset/images/image_113879.jpg,màu của bảng là gì,màu nâu,màu đen
vivqa-dataset/images/image_453167.jpg,màu của chiếc ô là gì,màu đỏ,màu đỏ
vivqa-dataset/images/image_402668.jpg,màu của chiếc đĩa là gì,màu trắng,màu cam
vivqa-dataset/images/image_299811.jpg,màu của khăn là gì,màu đen,màu xanh dương
vivqa-dataset/images/image_523985.jpg,màu của gấu là gì,màu trắng,màu đen
vivqa-dataset/images/image_119418.jpg,màu của phòng tắm là gì,màu xanh dương,màu đen
vivqa-dataset/images/image_19238.jpg,màu của con chim là gì,màu cam,màu nâu
vivqa-dataset/images/image_149381.jpg,màu sắc của trái cây là gì,màu cam,màu cam
vivqa-dataset/images/image_403853.jpg,màu của con ngựa là gì,màu nâu,màu nâu
vivqa-dataset/images/image_559221.jpg,màu của gấu bông là gì,màu trắng,màu trắng
vivqa-dataset/images/image_58708.jpg,màu của cà vạt là gì,màu đỏ,màu đỏ
vivqa-dataset/images/image_159731.jpg,màu của máy tính là gì,màu đỏ,màu đỏ
vivqa-dataset/images/image_535418.jpg,màu của gấu là gì,màu nâu,màu nâu
vivqa-dataset/images/image_358650.jpg,màu của dĩa nhựa là gì,màu xanh dương,màu xanh dương
vivqa-dataset/images/image_268197.jpg,màu sắc của bộ đồ là gì,màu đen,màu đen
vivqa-dataset/images/image_109973.jpg,màu của tường là gì,màu xanh lá,màu xanh lá
vivqa-dataset/images/image_318108.jpg,màu của lều là gì,màu xanh dương,màu xanh dương
vivqa-dataset/images/image_184589.jpg,màu của máy tính là gì,màu đỏ,màu đỏ
vivqa-dataset/images/image_493526.jpg,màu của chiếc ô là gì,màu đen,màu xanh dương
vivqa-dataset/images/image_520501.jpg,màu sắc của bông hoa là gì,màu trắng,màu trắng
vivqa-dataset/images/image_263036.jpg,màu của động cơ là gì,màu đỏ,màu đỏ
vivqa-dataset/images/image_230224.jpg,màu của con mèo là gì,màu vàng,màu đen
vivqa-dataset/images/image_7476.jpg,màu của chiếc bình là gì,màu xanh lá,màu xanh lá
vivqa-dataset/images/image_481971.jpg,màu của đài phun nước là gì,màu vàng,màu vàng
vivqa-dataset/images/image_363031.jpg,màu của cổ áo là gì,màu tía,màu tía
vivqa-dataset/images/image_230616.jpg,màu của con bò là gì,màu nâu,màu đen
vivqa-dataset/images/image_448529.jpg,màu của bàn chải đánh răng là gì,màu trắng,màu trắng
vivqa-dataset/images/image_384328.jpg,màu của áo là gì,màu xanh dương,màu xanh dương
vivqa-dataset/images/image_416589.jpg,màu của áo là gì,màu trắng,màu trắng
vivqa-dataset/images/image_358171.jpg,màu của chiếc ô là gì,màu cam,màu cam
vivqa-dataset/images/image_7601.jpg,màu của con bò là gì,màu đen,màu đen
vivqa-dataset/images/image_579534.jpg,màu của chiếc bình là gì,màu trắng,màu cam
vivqa-dataset/images/image_366740.jpg,màu sắc của sự bình yên là gì,màu xám,màu xanh dương
vivqa-dataset/images/image_426420.jpg,màu của con ngựa là gì,màu nâu,màu nâu
vivqa-dataset/images/image_290201.jpg,màu của chiếc ô là gì,màu xanh dương,màu vàng
vivqa-dataset/images/image_194671.jpg,màu của đèn là gì,màu xanh lá,màu trắng
vivqa-dataset/images/image_426510.jpg,màu của các chuyến tàu là gì,màu trắng,màu xanh dương
vivqa-dataset/images/image_454887.jpg,màu tóc là gì,màu đỏ,màu vàng
vivqa-dataset/images/image_389183.jpg,màu của xe là gì,màu đỏ,màu trắng
vivqa-dataset/images/image_111889.jpg,màu của xe máy là gì,màu xanh dương,màu xanh dương
vivqa-dataset/images/image_101632.jpg,màu của giấy là gì,màu đỏ,màu xanh lá
vivqa-dataset/images/image_400926.jpg,màu của dĩa nhựa là gì,màu tía,màu tía
vivqa-dataset/images/image_258894.jpg,màu của chiếc đĩa là gì,màu trắng,màu trắng
vivqa-dataset/images/image_514204.jpg,màu của con cừu là gì,màu đen,màu đen
vivqa-dataset/images/image_525891.jpg,màu sắc của bông hoa là gì,màu đỏ,màu đỏ
vivqa-dataset/images/image_184705.jpg,màu của con mèo là gì,màu trắng,màu xám
vivqa-dataset/images/image_175418.jpg,màu của chữ là gì,màu tía,màu tía
vivqa-dataset/images/image_47737.jpg,màu của bảng là gì,màu đen,màu đen
vivqa-dataset/images/image_292993.jpg,màu của con mèo là gì,màu xanh dương,màu xám
vivqa-dataset/images/image_171287.jpg,màu của áo là gì,màu trắng,màu trắng
vivqa-dataset/images/image_137970.jpg,màu của con mèo là gì,màu nâu,màu xám
vivqa-dataset/images/image_246575.jpg,màu sắc của những con chó là gì,màu nâu,màu trắng
vivqa-dataset/images/image_293763.jpg,màu của phòng tắm là gì,màu trắng,màu trắng
vivqa-dataset/images/image_123721.jpg,màu của chiếc tàu là gì,màu đỏ,màu đỏ
vivqa-dataset/images/image_411554.jpg,màu của chiếc mũ là gì,màu cam,màu cam
vivqa-dataset/images/image_234319.jpg,màu của tăm là gì,màu vàng,màu xanh lá
vivqa-dataset/images/image_501957.jpg,màu của trạm là gì,màu xanh dương,màu xanh dương
vivqa-dataset/images/image_463883.jpg,màu của con mèo là gì,màu xám,màu xám
vivqa-dataset/images/image_196623.jpg,màu của con mèo là gì,màu xám,màu xám
vivqa-dataset/images/image_376811.jpg,màu của lửa là gì,màu xanh lá,màu xanh lá
vivqa-dataset/images/image_148706.jpg,màu của chiếc giường là gì,màu đen,màu trắng
vivqa-dataset/images/image_364206.jpg,màu của xe buýt là gì,màu vàng,màu vàng
vivqa-dataset/images/image_81397.jpg,màu của bông hoa là gì,màu vàng,màu vàng
vivqa-dataset/images/image_358312.jpg,màu của chiếc hộp là gì,màu đen,màu cam
vivqa-dataset/images/image_108536.jpg,màu của ánh sáng là gì,màu đỏ,màu đỏ
vivqa-dataset/images/image_110567.jpg,màu của bông hoa là gì,màu cam,màu trắng
vivqa-dataset/images/image_531253.jpg,màu của áo khoác là gì,màu cam,màu xanh lá
vivqa-dataset/images/image_396581.jpg,màu của băng ghế là gì,màu đỏ,màu đỏ
vivqa-dataset/images/image_348364.jpg,màu của chăn là gì,màu xám,màu cam
vivqa-dataset/images/image_530282.jpg,màu của xe tải là gì,màu vàng,màu vàng
vivqa-dataset/images/image_255335.jpg,màu của tòa nhà là gì,màu nâu,màu trắng
vivqa-dataset/images/image_23177.jpg,màu sắc của bông hoa là gì,màu đỏ,màu cam
vivqa-dataset/images/image_172105.jpg,màu của áo là gì,màu trắng,màu đen
vivqa-dataset/images/image_435750.jpg,màu của điểm dừng là gì,màu xanh lá,màu vàng
vivqa-dataset/images/image_358915.jpg,màu của tủ lạnh là gì,màu trắng,màu trắng
vivqa-dataset/images/image_315568.jpg,màu của bìa là gì,màu cam,màu cam
vivqa-dataset/images/image_536008.jpg,màu sắc của bông hoa là gì,màu tía,màu tía
vivqa-dataset/images/image_468202.jpg,màu của áo là gì,màu vàng,màu vàng
vivqa-dataset/images/image_34702.jpg,màu của con ngựa là gì,màu nâu,màu nâu
vivqa-dataset/images/image_225828.jpg,màu của bánh rán là gì,màu trắng,màu trắng
vivqa-dataset/images/image_66691.jpg,màu của bảng là gì,màu nâu,màu cam
vivqa-dataset/images/image_292977.jpg,màu của xe tải nhỏ là gì,màu xanh dương,màu xanh dương
vivqa-dataset/images/image_423938.jpg,màu của con mèo là gì,màu cam,màu xám
vivqa-dataset/images/image_42644.jpg,màu của vòi nước là gì,màu đỏ,màu xám
vivqa-dataset/images/image_94667.jpg,màu của gấu là gì,màu trắng,màu nâu
vivqa-dataset/images/image_108259.jpg,màu sắc của cây cột là gì,màu xanh lá,màu xanh lá
vivqa-dataset/images/image_98549.jpg,màu của con mèo là gì,màu đen,màu đen
vivqa-dataset/images/image_519146.jpg,màu của xe buýt là gì,màu đỏ,màu đỏ
vivqa-dataset/images/image_430850.jpg,màu sắc của sự sắp xếp là gì,màu vàng,màu vàng
vivqa-dataset/images/image_141386.jpg,màu của cà vạt là gì,màu xanh dương,màu đen
vivqa-dataset/images/image_574251.jpg,màu sắc của hành lý là gì,màu đen,màu đen
vivqa-dataset/images/image_312946.jpg,màu của con bò là gì,màu trắng,màu nâu
vivqa-dataset/images/image_520385.jpg,màu của dấu chấm là gì,màu vàng,màu xanh dương
vivqa-dataset/images/image_61966.jpg,màu sắc của chiếc váy là gì,màu đen,màu cam
vivqa-dataset/images/image_456003.jpg,màu của con chó là gì,màu trắng,màu nâu
vivqa-dataset/images/image_426388.jpg,màu của chiếc giường là gì,màu cam,màu cam
vivqa-dataset/images/image_329948.jpg,màu của chiếc ghế dài là gì,màu trắng,màu xanh lá
vivqa-dataset/images/image_173833.jpg,màu của ô liu là gì,màu đen,màu đen
vivqa-dataset/images/image_246924.jpg,màu sắc của ớt là gì,màu xanh lá,màu xanh lá
vivqa-dataset/images/image_259242.jpg,màu của chiếc bình là gì,màu trắng,màu trắng
vivqa-dataset/images/image_84002.jpg,màu của đèn là gì,màu đen,màu trắng
vivqa-dataset/images/image_329503.jpg,màu của không khí là gì,màu vàng,màu vàng
vivqa-dataset/images/image_116892.jpg,màu của con mèo là gì,màu cam,màu cam
vivqa-dataset/images/image_386684.jpg,màu của áo là gì,màu cam,màu cam
vivqa-dataset/images/image_256539.jpg,màu của áo là gì,màu trắng,màu trắng
vivqa-dataset/images/image_380957.jpg,màu của chiếc ghế dài là gì,màu nâu,màu xanh dương
vivqa-dataset/images/image_494568.jpg,màu của sườn đồi là gì,màu xanh lá,màu nâu
vivqa-dataset/images/image_140563.jpg,màu sắc của các khối là gì,màu đỏ,màu cam
vivqa-dataset/images/image_79613.jpg,màu của bánh là gì,màu trắng,màu tía
vivqa-dataset/images/image_291788.jpg,màu của tín hiệu là gì,màu xanh lá,màu xanh lá
